user_id,sikayet,created_at
CUST-001,"Telefonla ulaştım: faturamda 200 TL fazla ücret var, acil düzeltilsin.",2025-08-28 03:14
CUST-002,"Canlı sohbetten yazdım, uygulama açılır açılmaz çöküyor; lütfen teknik ekip baksın.",2025-08-21 17:25
CUST-003,"E-postayla bildirdim: hesabım kilitlendi, şifre sıfırlama linki gelmiyor.",2025-08-20 16:17
CUST-004,"Dün akşamdan beri internet çok yavaş, modem resetledim ama düzelmedi; önemli bir toplantım var acil.",2025-08-29 08:59
CUST-005,"Abonelik iptali istiyorum; çağrı merkezine bağlanamadım, süreci anlatır mısınız?",2025-08-23 17:06
CUST-006,"Ödeme yaptım ama sistemde görünmüyor; iki kez dekont gönderdim, hâlâ çözülmedi.",2025-08-23 08:19
CUST-007,Mobil uygulamada girişte 'yetkisiz' hatası alıyorum; şirket hesabımda olabilir mi?,2025-08-23 02:00
CUST-008,Yeni kampanyanızın detaylarını öğrenmek istiyorum; SMS geldi ama link çalışmıyor.,2025-08-22 01:38
CUST-009,"Router ışıkları sönük, internet tamamen kesildi; saha ekipleri ne zaman gelebilir?",2025-08-29 07:30
CUST-010,"Son fatura dönemine indirim yansımamış; sözleşmemde var, geri ödeme talep ediyorum.",2025-08-21 14:51
CUST-011,"Şikayetimi 3 gündür ilettim, kimse dönmedi; öncelik verilmesini rica ediyorum.",2025-08-28 14:06
CUST-012,"VoIP görüşmelerinde kesinti yaşıyorum; işimi etkiliyor, lütfen teknik kontrol.",2025-08-29 08:44
CUST-013,Hatalı isim yazımı nedeniyle e-posta doğrulaması başarısız; kayıt ismimi düzeltmek istiyorum.,2025-08-26 23:50
CUST-014,Canlı destek temsilcisi hat açtı ama durum güncellenmedi; bilet numarası 45721.,2025-08-21 10:19
CUST-015,Modem sürekli yeniden başlatıyor; ısınma sorunu olabilir mi?,2025-08-27 12:59
CUST-016,Eski adresimden yeni adrese nakil istedim; randevu tarihi netleşmedi.,2025-08-25 11:53
CUST-017,Faturada çift tahsilat yapılmış; banka ekstresinde iki çekim görünüyor.,2025-08-20 18:15
CUST-018,Şifre sıfırlama sayfası 'token süresi doldu' diyor; yeni link talep ediyorum.,2025-08-20 17:40
CUST-019,Tarife değişikliği yaptım ama hız artmadı; ölçümlerde aynı değerler çıkıyor.,2025-08-21 12:17
CUST-020,"Ek paket iptal talebim alınmadı; geçen ay da ücret kesilmiş, iade isterim.",2025-08-23 00:40
